2022-03-07 13:22:38:[WARNING ]:  * Debugger is active!
2022-03-07 13:22:38:[INFO    ]:  * Debugger PIN: 401-508-088
2022-03-07 13:22:38:[INFO    ]:  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "GET / HTTP/1.1" 200 -
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "GET /author/picture/franklin HTTP/1.1" 200 -
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "GET /author/picture/george HTTP/1.1" 200 -
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "GET /author/picture/jose HTTP/1.1" 200 -
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "GET /author/picture/robert HTTP/1.1" 200 -
2022-03-07 13:22:52:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:52] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "GET /home HTTP/1.1" 200 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "GET /author/picture/franklin HTTP/1.1" 200 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "GET /author/picture/robert HTTP/1.1" 200 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "GET /author/picture/jose HTTP/1.1" 200 -
2022-03-07 13:22:53:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:53] "GET /author/picture/george HTTP/1.1" 200 -
2022-03-07 13:22:54:[INFO    ]: 127.0.0.1 - - [07/Mar/2022 13:22:54] "GET /about HTTP/1.1" 200 -
